ts_code,ann_date,end_date,eps,dt_eps,total_revenue_ps,revenue_ps,capital_rese_ps,surplus_rese_ps,undist_profit_ps,extra_item,profit_dedt,gross_margin,current_ratio,quick_ratio,cash_ratio,ar_turn,ca_turn,fa_turn,assets_turn,op_income,ebit,ebitda,fcff,fcfe,current_exint,noncurrent_exint,interestdebt,netdebt,tangible_asset,working_capital,networking_capital,invest_capital,retained_earnings,diluted2_eps,bps,ocfps,retainedps,cfps,ebit_ps,fcff_ps,fcfe_ps,netprofit_margin,grossprofit_margin,cogs_of_sales,expense_of_sales,profit_to_gr,saleexp_to_gr,adminexp_of_gr,finaexp_of_gr,impai_ttm,gc_of_gr,op_of_gr,ebit_of_gr,roe,roe_waa,roe_dt,roa,npta,roic,roe_yearly,roa2_yearly,debt_to_assets,assets_to_eqt,dp_assets_to_eqt,ca_to_assets,nca_to_assets,tbassets_to_totalassets,int_to_talcap,eqt_to_talcapital,currentdebt_to_debt,longdeb_to_debt,ocf_to_shortdebt,debt_to_eqt,eqt_to_debt,eqt_to_interestdebt,tangibleasset_to_debt,tangasset_to_intdebt,tangibleasset_to_netdebt,ocf_to_debt,turn_days,roa_yearly,roa_dp,fixed_assets,profit_to_op,q_saleexp_to_gr,q_gc_to_gr,q_roe,q_dt_roe,q_npta,q_ocf_to_sales,basic_eps_yoy,dt_eps_yoy,cfps_yoy,op_yoy,ebt_yoy,netprofit_yoy,dt_netprofit_yoy,ocf_yoy,roe_yoy,bps_yoy,assets_yoy,eqt_yoy,tr_yoy,or_yoy,q_sales_yoy,q_op_qoq,equity_yoy
600030.SH,20201030,20200930,0.99,0.99,3.2487,3.2487,5.0676,0.6717,5.1124,103356303.5,12557455683.48,,,,,,,,0.0457,-3981714116.42,,,,,,,,,,,,,74770374731.56,0.9794,13.9049,4.823,5.7841,5.4669,,,,31.2243,,,,31.2243,,35.5613,,0.8555,,40.4284,,7.4176,7.17,7.3571,,1.4285,,9.8901,,82.3982,5.6812,5.3779,,,,,,,,,4.6812,0.2089,,,,,0.0725,,1.9047,1.3793,8597868479.72,40.4355,,,2.0995,2.0812,0.3855,206.1894,13.79,13.79,461.3361,17.5298,17.5045,20.32,19.96,498.88,7.1613,4.244,31.8815,11.21,28.1343,28.1343,38.8642,-19.5879,12.2836
600030.SH,20200825,20200630,0.7,0.7,2.0688,2.0688,5.0676,0.6717,4.8301,70711206.24,8855166210.57,,1.51,1.51,,,,,0.0303,-2995980715.84,,,,,,,,,,,,,71120799760.31,0.6905,13.6185,2.3903,5.5018,3.4628,,,,34.4766,,,,34.4766,,36.5602,,,,44.4095,,5.2868,5.07,5.2449,,1.0437,,10.5736,,81.5393,5.4169,5.2322,,,,,,,,,4.4169,0.2214,,,,,0.0389,,2.0874,1.0104,8785530810.43,44.3985,,,2.745,2.7113,0.5267,2.5315,32.08,32.08,-27.1849,32.9982,32.9309,38.48,38.16,-22.32,22.7135,2.1,23.1541,8.92,22.7265,22.7265,23.2718,14.6514,12.848
600030.SH,20200825,20200630,0.7,0.7,2.0688,2.0688,5.0676,0.6717,4.8301,70711206.24,8855166210.57,,1.51,1.51,,,,,0.0303,-2995980715.84,,,47373289639.693,,,,,,,,,,71120799760.31,0.6905,13.6185,2.3903,5.5018,3.4628,,,,34.4766,,,,34.4766,,36.5602,,,,44.4095,,5.2868,5.07,5.2449,,1.0437,,10.5736,,81.5393,5.4169,5.2322,,,,,,,,,4.4169,0.2214,,,,,0.0389,,2.0874,1.0104,8785530810.43,44.3985,,,2.745,2.7113,0.5267,2.5315,32.08,32.08,-27.1849,32.9982,32.9309,38.48,38.16,-22.32,22.7135,2.1,23.1541,8.92,22.7265,22.7265,23.2718,14.6514,12.848
600030.SH,20200429,20200331,0.32,0.32,0.9942,0.9942,5.0677,0.6717,4.9591,11256752.09,4064273788.7,,,,,,,,0.015,-1687310115.43,,,,,,,,,,,,,72788692665.38,0.3153,13.7199,2.3631,5.6308,5.0118,,,,32.8598,,,,32.8598,,33.8708,,,,43.0505,,2.4046,2.38,2.398,,0.4928,,9.6184,,80.3544,5.0902,5.0565,,,,,,,,,4.0902,0.2393,,,,,0.0412,,1.9712,0.4755,8930709232.02,43.0495,,,2.4046,2.398,0.4928,237.6796,-8.57,-8.57,10.5234,-3.5334,-3.5648,-4.28,-4.47,17.91,-14.7663,2.8571,16.4963,9.73,22.1425,22.1425,22.1425,115.6862,12.3073
600030.SH,20200429,20200331,0.32,0.32,0.9942,0.9942,5.0677,0.6717,4.9591,11256752.09,4064273788.7,,,,,,,,0.015,-1687310115.43,,,,,,,,,,,,,72788692665.38,0.3153,13.7199,2.3631,5.6308,5.0118,,,,32.8598,,,,32.8598,,33.8708,,,,43.0505,,2.4046,2.38,2.398,,0.4928,,9.6184,,80.3544,5.0902,5.0565,,,,,,,,,4.0902,0.2393,,,,,0.0412,,1.9712,0.4755,8930709232.02,43.0495,,,2.4046,2.398,0.4928,237.6796,-8.57,-8.57,10.5234,-3.5334,-3.5648,-4.28,-4.47,17.91,-14.7663,2.8571,16.4963,9.73,22.1425,22.1425,22.1425,115.6862,12.3073
600030.SH,20200320,20191231,1.01,1.01,3.5603,3.5603,4.4691,0.7166,4.9603,82356025.86,12146253697.96,,1.58,1.58,,,,,0.0597,-5750989846.86,,,,,,,,,,,,,68786933764.12,1.0092,13.3388,1.8137,5.6769,3.1218,,,,29.3197,,,,29.3197,,40.7105,,,,39.4319,,7.77,7.76,7.7176,,1.7508,,7.77,,79.1026,4.7853,4.5903,,,,,,,,,3.7853,0.2581,,,,,0.0351,,1.7508,1.6927,9016489785.69,39.3944,,,1.0608,1.0435,0.236,111.5784,31.17,31.17,-61.8818,41.3387,36.3326,30.23,34.99,-61.88,23.3951,5.5402,21.2192,5.54,15.9024,15.9024,3.5397,-53.4895,5.5403
600030.SH,20200320,20191231,1.01,1.01,3.5603,3.5603,4.4691,0.7166,4.9603,82356025.86,12146253697.96,,1.58,1.58,,,,,0.0597,-5750989846.86,,,52228663146.2936,,,,,,,,,,68786933764.12,1.0092,13.3388,1.8137,5.6769,3.1218,,,,29.3197,,,,29.3197,,40.7105,,,,39.4319,,7.77,7.76,7.7176,,1.7508,,7.77,,79.1026,4.7853,4.5903,,,,,,,,,3.7853,0.2581,,,,,0.0351,,1.7508,1.6927,9016489785.69,39.3944,,,1.0608,1.0435,0.236,111.5784,31.17,31.17,-61.8818,41.3387,36.3326,30.23,34.99,-61.88,23.3951,5.5402,21.2192,5.54,15.9024,15.9024,3.5397,-53.4895,5.5403
600030.SH,20191031,20190930,0.87,0.87,2.7048,2.7048,4.4723,0.6941,5.0556,54413424.11,10467799955.8,,,,,,,,0.0474,-3175116898.03,,,,,,,,,,,,,69667874465.59,0.8684,13.2114,0.8592,5.7496,1.7454,,,,33.1152,,,,33.1152,,36.9769,,,,44.0762,,6.7187,6.68,6.6839,,1.57,,8.9583,,77.552,4.4547,4.4139,,,,,,,,,3.4547,0.283,,,,,0.0184,,2.0933,1.5222,9209725265.55,44.0934,,,2.5794,2.5678,0.5765,-267.3828,45.0,45.0,-76.6737,50.3295,49.9508,43.85,43.5,-76.67,37.3015,4.5321,11.6788,4.53,20.4511,20.4511,52.184,72.6689,4.7712
600030.SH,20191031,20190930,0.87,0.87,2.7048,2.7048,4.4723,0.6941,5.0556,54413424.11,10467799955.8,,,,,,,,0.0474,-3175116898.03,,,,,,,,,,,,,69667874465.59,0.8684,13.2114,0.8592,5.7496,1.7454,,,,33.1152,,,,33.1152,,36.9769,,,,44.0762,,6.7187,6.68,6.6839,,1.57,,8.9583,,77.552,4.4547,4.4139,,,,,,,,,3.4547,0.283,,,,,0.0184,,2.0933,1.5222,9209725265.55,44.0934,,,2.5794,2.5678,0.5765,-267.3828,45.0,45.0,-76.6737,50.3295,49.9508,43.85,43.5,-76.67,37.3015,4.5321,11.6788,4.53,20.4511,20.4511,52.184,72.6689,4.7712
600030.SH,20190823,20190630,0.53,0.53,1.7984,1.7984,4.4929,0.6941,4.7276,36036599.59,6409585208.67,,1.66,1.66,,,,,0.0317,-2788823128.4,,,,,,,,,,,,,65694252347.73,0.532,12.8746,3.2827,5.4217,3.5292,,,,30.5812,,,,30.5812,,37.0007,,,,40.9797,,4.17,4.11,4.1467,,0.9679,,8.34,,77.9334,4.5317,4.4543,,,,,,,,,3.5317,0.2765,,,,,0.0705,,1.9358,0.9362,9234483150.85,40.9903,,,1.394,1.3731,0.3302,123.0769,15.22,15.22,10.962,4.15,20.7974,15.82,15.65,10.96,11.4025,1.82,10.8299,1.87,8.9965,8.9965,9.6073,-44.3085,3.9664
600030.SH,20190823,20190630,0.53,0.53,1.7984,1.7984,4.4929,0.6941,4.7276,36036599.59,6409585208.67,,1.66,1.66,,,,,0.0317,-2788823128.4,,,-315743913.1419,,,,,,,,,,65694252347.73,0.532,12.8746,3.2827,5.4217,3.5292,,,,30.5812,,,,30.5812,,37.0007,,,,40.9797,,4.17,4.11,4.1467,,0.9679,,8.34,,77.9334,4.5317,4.4543,,,,,,,,,3.5317,0.2765,,,,,0.0705,,1.9358,0.9362,9234483150.85,40.9903,,,1.394,1.3731,0.3302,123.0769,15.22,15.22,10.962,4.15,20.7974,15.82,15.65,10.96,11.4025,1.82,10.8299,1.87,8.9965,8.9965,9.6073,-44.3085,3.9664
600030.SH,20190430,20190331,0.35,0.35,0.8684,0.8684,4.4915,0.6941,4.9025,3170981.55,4254429306.71,,,,,,,,0.0159,127011287.39,,,,,,,,,,,,,67813141501.96,0.3514,13.0329,2.1381,5.5966,1.6175,,,,41.4069,,,,41.4069,,39.6421,,,,54.5089,,2.7375,2.74,2.7354,,0.6569,,10.95,,75.9871,4.1644,4.2644,,,,,,,,,3.1644,0.3086,,,,,0.0506,,2.6276,0.6419,9250200562.7,54.5255,,,2.7375,2.7354,0.6569,246.2078,59.09,59.09,71.4183,58.2861,57.4295,58.29,59.1,71.42,52.0808,3.1198,3.0937,3.12,8.3499,8.3499,8.3499,136.3996,4.0828
600030.SH,20190430,20190331,0.35,0.35,0.8684,0.8684,4.4915,0.6941,4.9025,3170981.55,4254429306.71,,,,,,,,0.0159,127011287.39,,,,,,,,,,,,,67813141501.96,0.3514,13.0329,2.1381,5.5966,1.6175,,,,41.4069,,,,41.4069,,39.6421,,,,54.5089,,2.7375,2.74,2.7354,,0.6569,,10.95,,75.9871,4.1644,4.2644,,,,,,,,,3.1644,0.3086,,,,,0.0506,,2.6276,0.6419,9250200562.7,54.5255,,,2.7375,2.7354,0.6569,246.2078,59.09,59.09,71.4183,58.2861,57.4295,58.29,59.1,71.42,52.0808,3.1198,3.0937,3.12,8.3499,8.3499,8.3499,136.3996,4.0828
600030.SH,20190322,20181231,0.77,0.77,3.0718,3.0718,4.4915,0.6941,4.5554,392318805.84,8997577184.1,,1.68,1.68,,,,,0.0582,-5112354773.62,,,,,,,,,,,,,63607982301.55,0.7749,12.6386,4.7581,5.2495,1.3758,,,,26.5348,,,,26.5348,,41.1264,,,,32.3354,,6.1992,6.2,5.9402,,1.5448,,6.1992,,75.9878,4.1645,4.221,,,,,,,,,3.1646,0.3086,,,,,0.1162,,1.5448,1.4687,9378741037.14,33.491,,,1.3567,1.1133,0.3462,130.0698,-18.09,-18.09,155.3332,-25.9279,-22.9273,-17.87,-21.42,155.3333,-19.6643,2.2309,4.4052,2.23,-14.0233,-14.0233,-32.3178,8.068,2.2308
600030.SH,20190322,20181231,0.77,0.77,3.0718,3.0718,4.4915,0.6941,4.5554,392318805.84,8997577184.1,,1.68,1.68,,,,,0.0582,-5112354773.62,,,-35486470276.7594,,,,,,,,,,63607982301.55,0.7749,12.6386,4.7581,5.2495,1.3758,,,,26.5348,,,,26.5348,,41.1264,,,,32.3354,,6.1992,6.2,5.9402,,1.5448,,6.1992,,75.9878,4.1645,4.221,,,,,,,,,3.1646,0.3086,,,,,0.1162,,1.5448,1.4687,9378741037.14,33.491,,,1.3567,1.1133,0.3462,130.0698,-18.09,-18.09,155.3332,-25.9279,-22.9273,-17.87,-21.42,155.3333,-19.6643,2.2309,4.4052,2.23,-14.0233,-14.0233,-32.3178,8.068,2.2308
600030.SH,20181031,20180930,0.6,0.6,2.2456,2.2456,4.4914,0.6812,4.5484,20005820.84,7294583305.18,,,,,,,,0.0439,-3027071524.43,,,,,,,,,,,,,63365502163.58,0.6037,12.6098,3.6834,5.2295,0.8411,,,,28.2354,,,,28.2354,,41.5119,,,,35.3159,,4.8346,4.81,4.8214,,1.2394,,6.4461,,74.5398,3.9277,4.097,,,,,,,,,2.9277,0.3338,,,,,0.0975,,1.6525,1.18,9021635718.3,35.4189,,,1.1554,1.1573,0.2925,121.7286,-7.69,-7.69,158.5429,-12.8224,-11.7153,-7.73,-8.35,158.543,-11.2015,1.9979,-1.8269,2.0,-4.5283,-4.5283,-26.401,-39.9778,3.914
600030.SH,20181031,20180930,0.6,0.6,2.2456,2.2456,4.4914,0.6812,4.5484,20005820.84,7294583305.18,,,,,,,,0.0439,-3027071524.43,,,,,,,,,,,,,63365502163.58,0.6037,12.6098,3.6834,5.2295,0.8411,,,,28.2354,,,,28.2354,,41.5119,,,,35.3159,,4.8346,4.81,4.8214,,1.2394,,6.4461,,74.5398,3.9277,4.097,,,,,,,,,2.9277,0.3338,,,,,0.0975,,1.6525,1.18,9021635718.3,35.4189,,,1.1554,1.1573,0.2925,121.7286,-7.69,-7.69,158.5429,-12.8224,-11.7153,-7.73,-8.35,158.543,-11.2015,1.9979,-1.8269,2.0,-4.5283,-4.5283,-26.401,-39.9778,3.914
600030.SH,20180824,20180630,0.46,0.46,1.65,1.65,4.4918,0.6812,4.4081,22966012.95,5542186024.54,,1.77,1.77,,,,,0.0312,-2492695928.44,,,,,,,,,,,,,61666246850.92,0.4593,12.3834,2.9584,5.0893,1.6613,,,,29.1247,,,,29.1247,,38.0004,,,,36.8342,,3.712,3.65,3.6967,,0.9075,,7.424,,76.6687,4.2861,4.2798,,,,,,,,,3.2861,0.2976,,,,,0.0711,,1.815,0.8673,8967529050.7,36.9859,,,1.9057,1.9009,0.4592,201.6658,12.2,12.2,172.9047,4.9948,8.1658,12.96,9.03,172.9048,8.1856,0.16,5.1392,0.17,6.9444,6.9444,1.9941,3.2255,4.4163
600030.SH,20180824,20180630,0.46,0.46,1.65,1.65,4.4918,0.6812,4.4081,22966012.95,5542186024.54,,1.77,1.77,,,,,0.0312,-2492695928.44,,,-16372140015.1823,,,,,,,,,,61666246850.92,0.4593,12.3834,2.9584,5.0893,1.6613,,,,29.1247,,,,29.1247,,38.0004,,,,36.8342,,3.712,3.65,3.6967,,0.9075,,7.424,,76.6687,4.2861,4.2798,,,,,,,,,3.2861,0.2976,,,,,0.0711,,1.815,0.8673,8967529050.7,36.9859,,,1.9057,1.9009,0.4592,201.6658,12.2,12.2,172.9047,4.9948,8.1658,12.96,9.03,172.9048,8.1856,0.16,5.1392,0.17,6.9444,6.9444,1.9941,3.2255,4.4163
600030.SH,20180428,20180331,0.22,0.22,0.8015,0.8015,4.4938,0.6812,4.5741,15686001.76,2674062824.62,,,,,,,,0.0151,-968212718.26,,,,,,,,,,,,,63676945246.26,0.222,12.5216,1.2473,5.2552,0.9128,,,,28.8137,,,,28.8137,,38.6628,,-0.078,,37.3124,,1.7841,1.78,1.7737,,0.4354,,7.1364,,76.4792,4.2516,4.2625,,,,,,,,,3.2516,0.3007,,,,,0.03,,1.7416,0.4186,8941257462.45,37.5268,,,1.7841,1.7737,0.4354,155.6247,15.79,15.79,139.8333,6.6156,12.4518,16.91,8.54,139.8336,12.2185,1.2845,5.4501,1.28,12.7369,12.7369,12.7369,-30.6647,4.1767
600030.SH,20180428,20180331,0.22,0.22,0.8015,0.8015,4.4938,0.6812,4.5741,15686001.76,2674062824.62,,,,,,,,0.0151,-968212718.26,,,,,,,,,,,,,63676945246.26,0.222,12.5216,1.2473,5.2552,0.9128,,,,28.8137,,,,28.8137,,38.6628,,-0.078,,37.3124,,1.7841,1.78,1.7737,,0.4354,,7.1364,,76.4792,4.2516,4.2625,,,,,,,,,3.2516,0.3007,,,,,0.03,,1.7416,0.4186,8941257462.45,37.5268,,,1.7841,1.7737,0.4354,155.6247,15.79,15.79,139.8333,6.6156,12.4518,16.91,8.54,139.8336,12.2185,1.2845,5.4501,1.28,12.7369,12.7369,12.7369,-30.6647,4.1767
600030.SH,20180323,20171231,0.94,0.94,3.5728,3.5728,4.4934,0.6738,4.2921,-16287038.8,11449551584.4,,1.64,1.64,,,,,0.0708,-5220337174.81,,,,,,,,,,,,,60171557394.85,0.9436,12.3628,-8.599,4.9659,-3.2832,,,,27.6669,,,,27.6669,,39.2517,,3.9748,,37.5323,,7.8178,7.82,7.8289,,1.9587,,7.8178,,75.5197,4.0849,4.1813,,,,,,,,,3.0849,0.3171,,,,,-0.2205,,1.9587,1.8697,9136112526.48,37.3601,,,2.3624,2.3516,0.5789,-188.9882,9.3,9.3,-110.9511,14.4093,13.4003,10.3,10.71,-110.95,5.0743,4.9777,4.7094,4.98,13.9203,13.9203,34.946,30.3782,4.9778
600030.SH,20180323,20171231,0.94,0.94,3.5728,3.5728,4.4934,0.6738,4.2921,-16287038.8,11449551584.4,,1.64,1.64,,,,,0.0708,-5220337174.81,,,97729328895.9315,,,,,,,,,,60171557394.85,0.9436,12.3628,-8.599,4.9659,-3.2832,,,,27.6669,,,,27.6669,,39.2517,,3.9748,,37.5323,,7.8178,7.82,7.8289,,1.9587,,7.8178,,75.5197,4.0849,4.1813,,,,,,,,,3.0849,0.3171,,,,,-0.2205,,1.9587,1.8697,9136112526.48,37.3601,,,2.3624,2.3516,0.5789,-188.9882,9.3,9.3,-110.9511,14.4093,13.4003,10.3,10.71,-110.95,5.0743,4.9777,4.7094,4.98,13.9203,13.9203,34.946,30.3782,4.9778
600030.SH,20171031,20170930,0.65,0.65,2.352,2.352,4.4872,0.6448,4.1984,-32285158.24,7959311857.84,,,,,,,,0.0464,-1255416915.48,,,,,,,,,,,,,58684424383.75,0.6542,12.1348,-6.2918,4.8432,-2.2993,,,,29.258,,,,29.258,,41.1075,,0.8623,,38.675,,5.472,5.45,5.4942,,1.3567,,7.296,,76.1761,4.1975,4.2426,,,,,,,,,3.1975,0.3055,,,,,-0.1584,,1.8089,1.2898,9203942002.73,38.3029,,,2.0641,1.9785,0.5099,-276.0587,-1.52,-1.52,-35.7982,0.0996,-0.6691,-0.18,-0.25,-35.7991,-5.3102,3.0416,5.747,3.04,5.3968,5.3968,10.4093,10.9207,5.4228
600030.SH,20171031,20170930,0.65,0.65,2.352,2.352,4.4872,0.6448,4.1984,-32285158.24,7959311857.84,,,,,,,,0.0464,-1255416915.48,,,,,,,,,,,,,58684424383.75,0.6542,12.1348,-6.2918,4.8432,-2.2993,,,,29.258,,,,29.258,,41.1075,,0.8623,,38.675,,5.472,5.45,5.4942,,1.3567,,7.296,,76.1761,4.1975,4.2426,,,,,,,,,3.1975,0.3055,,,,,-0.1584,,1.8089,1.2898,9203942002.73,38.3029,,,2.0641,1.9785,0.5099,-276.0587,-1.52,-1.52,-35.7982,0.0996,-0.6691,-0.18,-0.25,-35.7991,-5.3102,3.0416,5.747,3.04,5.3968,5.3968,10.4093,10.9207,5.4228
600030.SH,20170826,20170630,0.41,0.41,1.5428,1.5428,4.4872,0.6448,3.9551,-156704613.44,5083213502.05,,1.57,1.57,,,,,0.0311,-1114981899.02,,,,,,,,,,,,,55736791074.26,0.4066,11.8597,-4.0579,4.5999,-1.7419,,,,27.7241,,,,27.7241,,40.4265,,1.3895,,37.5177,,3.4403,3.39,3.5497,,0.8614,,6.8806,,75.7318,4.1206,4.2017,,,,,,,,,3.1206,0.3132,,,,,-0.1072,,1.7228,0.8188,9339850200.44,36.5685,,,1.815,1.8107,0.4471,-111.3987,-4.65,-4.65,-18.2992,-4.8039,-6.7357,-6.02,-3.95,-18.3003,-10.9144,0.68,1.4182,0.71,2.9455,2.9455,-4.5488,6.2963,5.4931
600030.SH,20170826,20170630,0.41,0.41,1.5428,1.5428,4.4872,0.6448,3.9551,-156704613.44,5083213502.05,,1.57,1.57,,,,,0.0311,-1114981899.02,,,36522251860.7031,,,,,,,,,,55736791074.26,0.4066,11.8597,-4.0579,4.5999,-1.7419,,,,27.7241,,,,27.7241,,40.4265,,1.3895,,37.5177,,3.4403,3.39,3.5497,,0.8614,,6.8806,,75.7318,4.1206,4.2017,,,,,,,,,3.1206,0.3132,,,,,-0.1072,,1.7228,0.8188,9339850200.44,36.5685,,,1.815,1.8107,0.4471,-111.3987,-4.65,-4.65,-18.2992,-4.8039,-6.7357,-6.02,-3.95,-18.3003,-10.9144,0.68,1.4182,0.71,2.9455,2.9455,-4.5488,6.2963,5.4931
600030.SH,20170429,20170331,0.19,0.19,0.711,0.711,4.4883,0.6448,4.0872,-162919672.54,2463708374.12,,,,,,,,0.0141,101830260.51,,,,,,,,,,,,,57337480035.26,0.1899,12.0196,-3.1313,4.732,-0.7555,,,,28.2255,,,,28.2255,,44.8956,,0.5652,,39.4619,,1.5959,1.6,1.7089,,0.398,,6.3836,,76.1635,4.1952,4.2382,,,,,,,,,3.1952,0.3062,,,,,-0.0798,,1.592,0.3766,3904056996.22,37.6175,,,1.5959,1.7089,0.398,-440.3957,35.71,35.71,-161.6612,41.8286,34.3195,40.18,51.16,-161.6519,33.8379,2.0634,4.5428,2.06,13.3574,13.3574,13.3574,6.5426,4.7383
600030.SH,20170429,20170331,0.19,0.19,0.711,0.711,4.4883,0.6448,4.0872,-162919672.54,2463708374.12,,,,,,,,0.0141,101830260.51,,,,,,,,,,,,,57337480035.26,0.1899,12.0196,-3.1313,4.732,-0.7555,,,,28.2255,,,,28.2255,,44.8956,,0.5652,,39.4619,,1.5959,1.6,1.7089,,0.398,,6.3836,,76.1635,4.1952,4.2382,,,,,,,,,3.1952,0.3062,,,,,-0.0798,,1.592,0.3766,3904056996.22,37.6175,,,1.5959,1.7089,0.398,-440.3957,35.71,35.71,-161.6612,41.8286,34.3195,40.18,51.16,-161.6519,33.8379,2.0634,4.5428,2.06,13.3574,13.3574,13.3574,6.5426,4.7383
600030.SH,20170323,20161231,0.86,0.86,3.1363,3.1363,4.4944,0.6448,3.8947,22803745.4,10342364843.01,,1.44,1.44,,,,,0.0626,1372488904.63,,,,,,,,,,,,,55005003869.93,0.8554,11.7766,-4.0763,4.5395,-3.806,,,,28.8963,,,,28.8963,,44.6611,,5.0929,,37.3722,,7.3555,7.36,7.3393,,1.8098,,7.3555,,75.5977,4.098,4.3059,,,,,,,,,3.098,0.3159,,,,,-0.1094,,1.8098,1.7082,3991409044.71,37.5311,,,1.7183,1.6749,0.459,61.5551,-49.71,-49.71,-157.2691,-48.6437,-47.7316,-47.65,-48.49,-157.2689,-48.9555,2.5577,-3.0302,2.56,-32.1557,-32.1557,-19.4282,-12.4216,2.5573
600030.SH,20170323,20161231,0.86,0.86,3.1363,3.1363,4.4944,0.6448,3.8947,22803745.4,10342364843.01,,1.44,1.44,,,,,0.0626,1372488904.63,,,61259180990.139,,,,,,,,,,55005003869.93,0.8554,11.7766,-4.0763,4.5395,-3.806,,,,28.8963,,,,28.8963,,44.6611,,5.0929,,37.3722,,7.3555,7.36,7.3393,,1.8098,,7.3555,,75.5977,4.098,4.3059,,,,,,,,,3.098,0.3159,,,,,-0.1094,,1.8098,1.7082,3991409044.71,37.5311,,,1.7183,1.6749,0.459,61.5551,-49.71,-49.71,-157.2691,-48.6437,-47.7316,-47.65,-48.49,-157.2689,-48.9555,2.5577,-3.0302,2.56,-32.1557,-32.1557,-19.4282,-12.4216,2.5573
600030.SH,20161029,20160930,0.66,0.66,2.2316,2.2316,4.4936,0.621,3.8428,-38450480.8,7979397853.63,,,,,,,,0.0465,2419607589.99,,,,,,,,,,,,,54087547857.58,0.6554,11.5106,-4.6332,4.4638,-4.8887,,,,30.8896,,,,30.8896,,42.8738,,3.5614,,40.7216,,5.7004,5.66,5.728,,1.4351,,7.6005,,74.0059,3.847,4.1779,,,,,,,,,2.847,0.344,,,,,-0.1385,,1.9135,1.3644,3937831563.02,40.642,,,1.9578,1.9495,0.5113,-164.1377,-52.86,-52.86,-160.1316,-50.0035,-50.1736,-50.33,-50.01,-160.1312,-52.4709,0.2412,-11.0721,0.24,-36.2388,-36.2388,-21.3881,-26.6947,4.5138
600030.SH,20161029,20160930,0.66,0.66,2.2316,2.2316,4.4936,0.621,3.8428,-38450480.8,7979397853.63,,,,,,,,0.0465,2419607589.99,,,,,,,,,,,,,54087547857.58,0.6554,11.5106,-4.6332,4.4638,-4.8887,,,,30.8896,,,,30.8896,,42.8738,,3.5614,,40.7216,,5.7004,5.66,5.728,,1.4351,,7.6005,,74.0059,3.847,4.1779,,,,,,,,,2.847,0.344,,,,,-0.1385,,1.9135,1.3644,3937831563.02,40.642,,,1.9578,1.9495,0.5113,-164.1377,-52.86,-52.86,-160.1316,-50.0035,-50.1736,-50.33,-50.01,-160.1312,-52.4709,0.2412,-11.0721,0.24,-36.2388,-36.2388,-21.3881,-26.6947,4.5138
600030.SH,20160825,20160630,0.43,0.43,1.4987,1.4987,4.4936,0.621,3.6216,-49905005.52,5292036133.14,,1.5,1.5,,,,,0.0306,1763128577.61,,,,,,,,,,,,,51407608670.94,0.4326,11.2421,-3.4302,4.2426,-3.0367,,,,30.2563,,,,30.2563,,43.5738,,4.355,,40.5717,,3.8075,3.73,3.8438,,0.9264,,7.615,,75.6203,4.1018,4.3077,,,,,,,,,3.1018,0.316,,,,,-0.0964,,1.8528,0.8839,3969557789.98,40.3644,,,2.6162,2.6608,0.6415,-256.2929,-61.95,-61.95,-130.5921,-56.4433,-56.6962,-57.96,-57.53,-130.5919,-59.7923,-2.09,-7.4742,-2.1,-41.6313,-41.6313,-50.1418,107.3518,4.5497
