ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit,rd_exp,fin_exp_int_exp,fin_exp_int_inc,transfer_surplus_rese,transfer_housing_imprest,transfer_oth,adj_lossgain,withdra_legal_surplus,withdra_legal_pubfund,withdra_biz_devfund,withdra_rese_fund,withdra_oth_ersu,workers_welfare,distr_profit_shrhder,prfshare_payable_dvd,comshare_payable_dvd,capit_comstock_div,continued_net_profit,update_flag
600030.SH,20251025,20251025,20250930,1,4,3,1.51,1.51,55814696246.7,55814696246.7,14592798081.28,,,24561418588.63,30306806767.22,272517746.22,,,,,10939083773.8,3689251707.18,8703007148.59,454865165.92,-756058761.42,32837574064.74,478941059.42,-2198201733.69,25506583756.77,,13828674610.13,,362821336.25,,24344266484.8,,,,,,,,25506583756.77,,,,182347419.7,30308112489.93,83230778.76,16637159.72,,30374706108.97,6459089718.09,23915616390.88,23158914572.54,756701818.34,-324917069.21,23590699321.67,22839904086.95,750795234.72,,,,,,,,,,,,,,,,,,,,,,,23915616390.88,1
600030.SH,20250829,20250829,20250630,1,4,2,0.89,0.89,33039304701.06,33039304701.06,9505553030.02,,,14819205449.54,17877134310.22,183148981.72,,,,,6402078880.99,2097920356.99,5443812874.29,304357413.4,-1520858749.81,20898550853.62,325299919.4,-1822542258.62,15358216865.8,,9283796520.4,,210733747.27,,15324611924.13,,,,,,,,15358216865.8,,,,121208431.68,17681087835.26,80718553.59,15892016.63,,17745914372.22,3599683025.44,14146231346.78,13719079187.22,427152159.56,261225869.14,14407457215.92,13986697537.98,420759677.94,,,,,,,,,,,,,,,,,,,,,,,14146231346.78,1
600030.SH,20250430,20250430,20250331,1,4,1,0.42,0.42,17761364917.53,17761364917.53,4757310900.49,,,7296401374.85,9171869019.49,85726541.34,,,,,3325009099.25,975557871.62,2563377858.13,1580788566.28,-5557287976.63,14498009593.37,78723799.38,77062668.36,9541326349.98,,4959278402.24,,98695355.9,,7638451271.81,,,,,,,,9541326349.98,,,,1495062024.94,8220038567.55,77874051.23,430050.34,,8297482568.44,1535665980.9,6761816587.54,6545117520.29,216699067.25,39387282.74,6801203870.28,6585910240.29,215293629.99,,,,,,,,,,,,,,,,,,,,,,,6761816587.54,1
600030.SH,20250327,20250327,20241231,1,4,4,1.41,1.41,63789215688.23,63789215688.23,19941479819.24,,,26081624664.11,30783625486.42,596878411.18,,,,,10712763561.82,4159191856.95,10505938039.64,6437064339.07,-6023331456.68,32485942803.7,117569441.57,3427890922.57,35282999519.5,,18857700209.43,,318622996.54,,30084233738.63,,,,,,,,35282999519.5,,,,5840185927.89,28506216168.73,236129824.34,323870733.51,,28418475259.56,5829018459.63,22589456799.93,21703696593.02,885760206.91,1308280.39,22590765080.32,21702862352.45,887902727.87,,,,,,,,,,,,,,,,,,,,,,,22589456799.93,1
600030.SH,20241030,20241030,20240930,1,4,3,1.09,1.09,46141632672.22,46141632672.22,14745626573.39,,,18104284412.67,22850007625.9,547203441.67,,,,,7154379239.84,2818764684.57,7478567943.36,4815193636.96,10732583925.65,11096874716.2,165894347.46,278252430.36,24127224220.45,,13826276135.03,,221040007.5,,20137649255.66,,,,,,,,24127224220.45,,,,4267990195.29,22014408451.77,17567792.71,106741501.06,,21925234743.42,4474322580.21,17450912163.21,16798864246.61,652047916.6,-484936391.37,16965975771.84,16320179383.91,645796387.93,,,,,,,,,,,,,,,,,,,,,,,17450912163.21,1
600030.SH,20240829,20240829,20240630,1,4,2,0.69,0.69,30183442433.74,30183442433.74,10324498721.23,,,12008310080.41,14187530326.19,565566074.94,,,,,4879646075.34,1735085894.46,4914304854.16,3437176986.96,3061655412.35,8887555571.0,218538646.84,1499823133.17,16140670131.52,,9208507606.11,,138248217.6,,13476981193.67,,,,,,,,16140670131.52,,,,2871610912.02,14042772302.22,15090559.23,105888728.0,,13951974133.45,2970036278.6,10981937854.85,10569764458.88,412173395.97,288798442.13,11270736296.98,10860948463.64,409787833.34,,,,,,,,,,,,,,,,,,,,,,,10981937854.85,1
600030.SH,20240427,20240427,20240331,1,4,1,0.32,0.32,13754570045.36,13754570045.36,5187153628.57,,,5900634798.54,6642211406.16,173286313.49,,,,,2441695662.01,869137919.91,2358338898.79,1059661149.85,3237806308.78,2281853706.12,59937195.69,872168011.48,7120341943.31,,4861804624.27,,75537905.88,,6178177422.93,,,,,,,,7120341943.31,,,,886374836.36,6634228102.05,1655126.2,4505611.48,,6631377616.77,1469233245.67,5162144371.1,4958574616.76,203569754.34,288650106.84,5450794477.94,5248359730.51,202434747.43,,,,,,,,,,,,,,,,,,,,,,,5162144371.1,0
600030.SH,20240427,20240427,20240331,1,4,1,0.32,0.32,13754570045.36,13754570045.36,5187153628.57,,,5900634798.54,6642211406.16,173286313.49,,,,,2441695662.01,869137919.91,2358338898.79,1059661149.85,3237806308.78,2281853706.12,59937195.69,872168011.48,7120341943.31,,4861804624.27,,75537905.88,,6178177422.93,,,,,,,,7120341943.31,,,,886374836.36,6634228102.05,1655126.2,4505611.48,,6631377616.77,1469233245.67,5162144371.1,4958574616.76,203569754.34,288650106.84,5450794477.94,5248359730.51,202434747.43,,,,,,,,,,,,,,,,,,,,,,,5162144371.1,1
600030.SH,20240327,20240327,20231231,1,4,4,1.3,1.3,60067992766.11,60067992766.11,21608951183.94,,,27201936531.31,23876176564.86,465481635.69,,,,,10222605007.29,6293256117.21,9848549746.53,5426270589.61,3573683091.94,18913561707.79,641460652.44,534699342.7,33954316840.16,,17579860467.92,,357583877.09,,28992491572.35,,,,,,,,33954316840.16,,,,4960788953.92,26113675925.95,173570333.56,101793210.27,,26185453049.24,5646107820.23,20539345229.01,19720547412.84,818797816.17,916785510.98,21456130739.99,20620739395.88,835391344.11,,,,,,,,,,,,,,,,,,,,,,,20539345229.01,1
600030.SH,20231031,20231031,20230930,1,4,3,1.08,1.08,45806736635.58,45806736635.58,16370368172.07,,,21050582107.28,18915481330.34,292123817.48,,,,,7833463940.37,5258308862.77,7397012414.77,2854583430.17,4655256238.3,11631053629.33,506061752.62,2027322559.49,23993500437.79,,13092154586.8,,285558707.88,,21112638255.04,,,,,,,,23993500437.79,,,,2562459612.69,21813236197.79,51679091.29,39945345.62,,21824969943.46,4756641232.96,17068328710.5,16413947438.56,654381271.94,599318005.2,17667646715.7,16986977377.19,680669338.51,,,,,,,,,,,,,,,,,,,,,,,17068328710.5,1
600030.SH,20230830,20230830,20230630,1,4,2,0.75,0.75,31499960023.94,31499960023.94,10734329378.5,,,14540410406.56,13229925905.46,171693938.48,,,,,5289700580.96,3823760487.84,4968072891.83,1777908513.2,1709606028.27,10194524693.83,365034690.78,921817056.42,16375164977.49,,8610920241.3,,202062617.63,,14183493895.31,,,,,,,,16375164977.49,,,,1606214574.72,15124795046.45,9495218.12,36511196.67,,15097779067.9,3345868347.97,11751910719.93,11305770956.89,446139763.04,987846108.11,12739756828.04,12261678854.97,478077973.07,,,,,,,,,,,,,,,,,,,,,,,11751910719.93,1
600030.SH,20230428,20230428,20230331,1,4,1,0.36,0.36,15348206851.13,15348206851.13,5264179042.57,,,7327947881.56,7077209044.82,83800645.64,,,,,2591552611.49,1980239831.28,2497861971.38,444018788.66,907532024.74,5820175443.44,114872403.52,149905010.75,8017667773.07,,4681347260.84,,100148883.82,,7319037220.42,,,,,,,,8017667773.07,,,,360218143.02,7330539078.06,3003213.99,-3286463.32,,7336828755.37,1706584265.08,5630244490.29,5417237420.11,213007070.18,41683609.04,5671928099.33,5465490776.7,206437322.63,,,,,,,,,,,,,,,,,,,,,,,5630244490.29,1
600030.SH,20230331,20230331,20221231,1,4,4,1.42,1.42,65108507999.21,65108507999.21,21023810114.58,,,31942810007.97,19908131945.36,370345809.07,,,,,11168877536.1,8653871899.68,10939895251.68,7822124007.37,-13659870646.09,31969568614.67,673389919.6,883524229.44,36298395363.0,,-15218022267.0,,375476255.78,,28655152932.24,,,,,,,,36298395363.0,,,,7451778198.3,28810112636.21,285716296.38,145624666.57,,28950204266.02,6781417187.34,22168787078.68,21317422282.16,851364796.52,1037149447.51,23205936526.19,22262775309.36,943161216.83,52338655834.16,54076956672.22,,,,,,,,,,,,,,,,,,,,,22168787078.68,0
600030.SH,20230331,20230331,20221231,1,4,4,1.42,1.42,65108507999.21,65108507999.21,21023810114.58,,,31942810007.97,19908131945.36,370345809.07,,,,,11168877536.1,8653871899.68,10939895251.68,7822124007.37,-13659870646.09,31969568614.67,673389919.6,883524229.44,36298395363.0,,15218022267.0,,375476255.78,,28655152932.24,,,,,,,,36298395363.0,,,,7451778198.3,28810112636.21,285716296.38,145624666.57,,28950204266.02,6781417187.34,22168787078.68,21317422282.16,851364796.52,1037149447.51,23205936526.19,22262775309.36,943161216.83,,,,,,,,,,,,,,,,,,,,,,,22168787078.68,1
600030.SH,20221029,20221029,20220930,1,4,3,1.11,1.11,49821498122.3,49821498122.3,15712503986.26,,,24074541794.58,14927980154.08,228522591.23,,,,,8791174969.9,6271223001.95,8083330614.58,6880565962.84,-10851959085.4,23152077514.88,-108167399.79,2146923741.25,27420275554.18,,11545571184.23,,283987770.96,,20166257850.64,,,,,,,,27420275554.18,,,,6652043371.61,22401222568.12,253990505.72,49091006.53,,22606122067.31,5407522061.32,17198600005.99,16567546038.1,631053967.89,1250025995.79,18448626001.78,17795462420.71,653163581.07,,,,,,,,,,,,,,,,,,,,,,,17198600005.99,1
600030.SH,20220830,20220830,20220630,1,4,2,0.76,0.76,34885387537.72,34885387537.72,10410152194.0,,,15420507005.94,10692750586.36,168746944.01,,,,,5886312418.21,3452978800.79,5434224822.78,6202540554.27,2043038194.99,7189428875.93,-229451912.64,1105556667.61,19644581819.91,,7671815858.87,,188178471.29,,13309971838.53,,,,,,,,19644581819.91,,,,6033793610.26,15240805717.81,210081148.97,50298472.54,,15400588394.24,3789769613.98,11610818780.26,11196326779.84,414492000.42,428541744.07,12039360524.33,11689695167.35,349665356.98,13984008705.25,14821728468.23,,,,,,,,,,,,,,,,,,,,,11610818780.26,1
600030.SH,20220429,20220429,20220331,1,4,1,0.36,0.36,15216257790.55,15216257790.55,4947048589.2,,,8212986800.16,3652731017.61,128268037.3,,,,,3185643971.39,1827527557.81,2776240363.3,2472961797.48,353671219.61,3070105423.66,72589312.5,8114871.29,8125026739.01,,3941202376.6,,93856177.4,,6111131302.23,,,,,,,,8125026739.01,,,,2344693760.18,7091231051.54,6246868.0,16942421.53,,7080535498.01,1661560105.52,5418975392.49,5229072056.83,189903335.66,-164692533.73,5254282858.76,5069461850.02,184821008.74,,,,,,,,,,,,,,,,,,,,,,,5418975392.49,1
600030.SH,20220429,20220429,20220331,1,4,1,0.36,0.36,15216257790.55,15216257790.55,4947048589.2,,,8212986800.16,3652731017.61,128268037.3,,,,,3185643971.39,1827527557.81,2776240363.3,2472961797.48,353671219.61,3070105423.66,72589312.5,8114871.29,8125026739.01,,3941202376.6,,93856177.4,,6111131302.23,,,,,,,,8125026739.01,,,,2344693760.18,7091231051.54,6246868.0,16942421.53,,7080535498.01,1661560105.52,5418975392.49,5229072056.83,189903335.66,-164692533.73,5254282858.76,5069461850.02,184821008.74,,,,,,,,,,,,,,,,,,,,,,,5418975392.49,0
600030.SH,20220329,20220329,20211231,1,4,4,1.77,1.77,76523716526.93,76523716526.93,20574930713.22,,,34554169864.84,24589599114.23,889540896.08,,,,,13962545242.06,8155822760.26,11702041416.98,12931996658.78,5306729885.74,18265665970.71,889723898.89,-138198767.78,44098226916.57,,15237438928.06,,423169278.18,,28128885863.18,,,,,,,,44098226916.57,,,,12042455762.7,32425489610.36,75998735.06,607693016.81,,31893795328.61,7888714419.11,24005080909.5,23099624927.77,905455981.73,-1089657186.67,22915423722.83,22029606104.11,885817618.72,32062624345.82,33694608487.37,,,,,,,,,,,,,,,,,,,,,24005080909.5,1
600030.SH,20220329,20220329,20211231,1,4,4,1.77,1.77,76523716526.93,76523716526.93,20574930713.22,,,34554169864.84,24589599114.23,889540896.08,,,,,13962545242.06,8155822760.26,11702041416.98,12931996658.78,5306729885.74,18265665970.71,889723898.89,-138198767.78,44098226916.57,,15237438928.06,,423169278.18,,28128885863.18,,,,,,,,44098226916.57,,,,12042455762.7,32425489610.36,75998735.06,607693016.81,,31893795328.61,7888714419.11,24005080909.5,23099624927.77,905455981.73,-1089657186.67,22915423722.83,22029606104.11,885817618.72,32062624345.82,33694608487.37,,,,,,,,,,,,,,,,,,,,,24005080909.5,0
600030.SH,20211029,20211029,20210930,1,4,3,1.36,1.36,57811543804.57,57811543804.57,15843297695.93,,,25597257515.76,17128842604.67,602552863.16,,,,,10879431053.4,5644061972.96,8579472091.76,11301812109.06,128236056.05,15925581698.17,649749755.96,252947950.97,33931255674.97,,11457113257.69,,328741571.55,,20297424907.76,,,,,,,,33931255674.97,,,,10699259245.9,23880288129.6,29360226.01,74002117.44,,23835646238.17,5539831686.66,18295814551.51,17645144597.36,650669954.15,-1035405813.7,17260408737.81,16620751293.33,639657444.48,,,,,,,,,,,,,,,,,,,,,,,18295814551.51,0
600030.SH,20210820,20210820,20210630,1,4,2,0.94,0.94,37720623459.15,37720623459.15,9855886502.89,,,16010064223.0,12304681816.69,264616647.38,,,,,6741864066.04,3306766633.47,5571844419.11,7346955982.31,1836523107.53,10019827080.76,427533871.28,45594075.48,21378047051.48,,7532348418.36,,210350142.15,,13345700573.82,,,,,,,,21378047051.48,,,,7082339334.93,16342576407.67,18077484.8,69430931.82,,16291222960.65,3696873257.0,12594349703.65,12197983849.06,396365854.59,-1354715200.2,11239634503.45,10854938387.07,384696116.38,31142610346.61,31924453567.84,,,,,,,,,,,,,,,,,,,,,12594349703.65,1
600030.SH,20210429,20210429,20210331,1,4,1,0.4,0.4,16396868531.02,16396868531.02,4759819651.23,,,8075071695.38,4478355972.02,149191109.11,,,,,3522030829.75,1593105135.21,2788220167.1,2925078414.28,-373742999.84,4277966339.54,29621857.42,321053970.36,9560391104.07,,3692266092.78,,105663556.07,,6286082805.28,,,,,,,,9560391104.07,,,,2775887305.17,6836477426.95,11889232.6,5979690.19,,6842386969.36,1499126973.16,5343259996.2,5164799333.48,178460662.72,-925399171.74,4417860824.46,4240561969.28,177298855.18,,,,,,,,,,,,,,,,,,,,,,,5343259996.2,1
600030.SH,20210429,20210429,20210331,1,4,1,0.4,0.4,16396868531.02,16396868531.02,4759819651.23,,,8075071695.38,4478355972.02,149191109.11,,,,,3522030829.75,1593105135.21,2788220167.1,2925078414.28,-373742999.84,4277966339.54,29621857.42,321053970.36,9560391104.07,,3692266092.78,,105663556.07,,6286082805.28,,,,,,,,9560391104.07,,,,2775887305.17,6836477426.95,11889232.6,5979690.19,,6842386969.36,1499126973.16,5343259996.2,5164799333.48,178460662.72,-925399171.74,4417860824.46,4240561969.28,177298855.18,,,,,,,,,,,,,,,,,,,,,,,5343259996.2,0
600030.SH,20210319,20210319,20201231,1,4,4,1.16,1.16,54382730241.56,54382730241.56,15527762569.22,,,26764047167.74,18905771087.4,572141441.78,,,,,11256683437.02,6881554913.92,8006199673.75,6698087738.91,-6391105422.48,24883520433.6,585756428.45,-329368300.02,33744484298.55,,12940796879.93,,398254387.66,,20144546139.07,,,,,,,,33744484298.55,,,,6125946297.13,20638245943.01,78823057.99,246611221.58,,20470457779.42,4953916724.67,15516541054.75,14902324215.75,614216839.0,-668241580.46,14848299474.29,14264790315.06,583509159.23,40370586881.32,41977944080.73,,,,,,,,,,,,,,,,,,,,,15516541054.75,1
600030.SH,20210319,20210319,20201231,1,4,4,1.16,1.16,54382730241.56,54382730241.56,15527762569.22,,,26764047167.74,18905771087.4,572141441.78,,,,,11256683437.02,6881554913.92,8006199673.75,6698087738.91,-6391105422.48,24883520433.6,585756428.45,-329368300.02,33744484298.55,,12940796879.93,,398254387.66,,20144546139.07,,,,,,,,33744484298.55,,,,6125946297.13,20638245943.01,78823057.99,246611221.58,,20470457779.42,4953916724.67,15516541054.75,14902324215.75,614216839.0,-668241580.46,14848299474.29,14264790315.06,583509159.23,14488993121.46,16096350320.87,,,,,,,,,,,,,,,,,,,,,15516541054.75,0
600030.SH,20201030,20201030,20200930,1,4,3,0.99,0.99,41994620928.37,41994620928.37,11181532007.78,,,18841130568.48,16922896044.3,362526578.13,,,,,8534884855.54,4492638032.57,5394239764.28,4761629372.78,742741805.49,15445764003.96,312018631.32,237062153.34,25016862783.97,,9350040486.84,,297333170.44,,14933843795.37,,359249164.86,,,,,,25016862783.97,,,,4399102794.65,16977758144.4,61296925.23,58323811.04,,16980731258.59,3868223964.8,13112507293.79,12660811986.98,451695306.81,-255653129.11,12856854164.68,12418130692.14,438723472.54,,,,,,,,,,,,,,,,,,,,,,,13112507293.79,1
600030.SH,20201030,20201030,20200930,1,4,3,0.99,0.99,41994620928.37,41994620928.37,11181532007.78,,,18841130568.48,16922896044.3,362526578.13,,,,,8534884855.54,4492638032.57,5394239764.28,4761629372.78,742741805.49,15445764003.96,312018631.32,237062153.34,25016862783.97,,9350040486.84,,297333170.44,,14933843795.37,,359249164.86,,,,,,25016862783.97,,,,4399102794.65,16977758144.4,61296925.23,58323811.04,,16980731258.59,3868223964.8,13112507293.79,12660811986.98,451695306.81,-255653129.11,12856854164.68,12418130692.14,438723472.54,,,,,,,,,,,,,,,,,,,,,,,13112507293.79,0
600030.SH,20200825,20200825,20200630,1,4,2,0.7,0.7,26743555665.56,26743555665.56,6957480416.38,,,10826568650.75,12504314353.11,233955610.58,,,,,5008405370.28,2220929171.01,3290032689.15,2836257662.77,3756765438.35,8130287114.9,91804295.6,288585305.58,14866875586.68,,6147109806.87,,185972583.15,,9777495813.06,,,,,,,,14866875586.68,,,,2602302052.19,11876680078.88,43631639.82,46567912.63,,11873743806.07,2653479640.43,9220264165.64,8925877416.81,294386748.83,-206670452.2,9013593713.44,8713894656.97,299699056.47,20988586311.11,21843557927.5,,,,,,,,,,,,,,,,,,,,,9220264165.64,1
600030.SH,20200825,20200825,20200630,1,4,2,0.7,0.7,26743555665.56,26743555665.56,6957480416.38,,,10826568650.75,12504314353.11,233955610.58,,,,,5008405370.28,2220929171.01,3290032689.15,2836257662.77,3756765438.35,8130287114.9,91804295.6,288585305.58,14866875586.68,,6147109806.87,,185972583.15,,9777495813.06,,,,,,,,14866875586.68,,,,2602302052.19,11876680078.88,43631639.82,46567912.63,,11873743806.07,2653479640.43,9220264165.64,8925877416.81,294386748.83,-206670452.2,9013593713.44,8713894656.97,299699056.47,8694366697.37,9549338313.76,,,,,,,,,,,,,,,,,,,,,9220264165.64,0
